time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190106:0849,662.65,191.02,7.35,38.5,19.46,6.34,0.0
20190106:0949,334.3,242.43,5.41,33.86,19.72,6.62,0.0
20190106:1049,5.45,139.84,1.77,26.2,19.54,6.55,0.0
20190106:1149,151.32,84.17,2.14,16.48,19.0,6.07,0.0
20190106:1249,0.0,0.0,0.0,0.0,17.97,4.97,0.0
20190106:1349,0.0,0.0,0.0,0.0,16.87,4.07,0.0
20190106:1449,0.0,0.0,0.0,0.0,16.27,3.93,0.0
20190106:1549,0.0,0.0,0.0,0.0,15.76,3.93,0.0
20190106:1649,0.0,0.0,0.0,0.0,15.46,4.14,0.0
20190106:1749,0.0,0.0,0.0,0.0,15.19,4.34,0.0
20190106:1849,0.0,0.0,0.0,0.0,14.67,4.55,0.0
20190106:1949,0.0,0.0,0.0,0.0,14.15,4.69,0.0
20190106:2049,0.0,0.0,0.0,0.0,13.6,4.55,0.0
20190106:2149,0.0,0.0,0.0,0.0,13.05,4.28,0.0
20190106:2249,0.0,0.0,0.0,0.0,12.59,4.0,0.0
20190106:2349,0.0,0.0,0.0,0.0,12.23,3.72,0.0
20190107:0049,0.0,0.0,0.0,0.0,11.96,3.72,0.0
20190107:0149,0.0,0.0,0.0,0.0,11.77,3.86,0.0
20190107:0249,0.0,0.0,0.0,-1.91,11.55,4.07,0.0
20190107:0349,0.0,16.01,0.2,9.76,11.8,4.07,0.0
20190107:0449,0.0,53.66,0.66,20.41,12.49,4.83,0.0
20190107:0549,0.0,112.04,1.38,29.47,13.49,5.59,0.0
20190107:0649,0.0,119.57,1.48,36.12,15.19,6.48,0.0
20190107:0749,0.0,156.29,1.93,39.4,16.26,7.1,0.0
20190107:0849,12.51,241.51,3.07,38.64,17.35,7.38,0.0
20190107:0949,0.0,107.33,1.33,34.01,17.95,7.24,0.0
20190107:1049,0.0,45.19,0.56,26.36,17.97,6.9,0.0
20190107:1149,0.0,16.01,0.2,16.63,17.6,6.34,0.0
20190107:1249,0.0,0.91,0.01,5.55,16.93,5.17,0.0
20190107:1349,0.0,0.0,0.0,0.0,16.23,4.14,0.0
20190107:1449,0.0,0.0,0.0,0.0,15.98,3.79,0.0
20190107:1549,0.0,0.0,0.0,0.0,15.63,3.72,0.0
20190107:1649,0.0,0.0,0.0,0.0,15.22,3.79,0.0
20190107:1749,0.0,0.0,0.0,0.0,14.68,3.79,0.0
20190107:1849,0.0,0.0,0.0,0.0,13.83,3.72,0.0
20190107:1949,0.0,0.0,0.0,0.0,12.97,3.45,0.0
20190107:2049,0.0,0.0,0.0,0.0,12.32,3.38,0.0
20190107:2149,0.0,0.0,0.0,0.0,11.75,3.31,0.0
20190107:2249,0.0,0.0,0.0,0.0,11.28,3.24,0.0
20190107:2349,0.0,0.0,0.0,0.0,11.0,3.17,0.0
20190108:0049,0.0,0.0,0.0,0.0,10.89,3.1,0.0
20190108:0149,0.0,0.0,0.0,0.0,10.74,2.83,0.0
20190108:0249,0.0,0.0,0.0,-1.93,10.37,2.48,0.0
20190108:0349,97.68,128.29,1.59,9.76,11.47,2.21,0.0
20190108:0449,348.88,214.6,3.93,20.43,13.65,3.03,0.0
20190108:0549,367.52,274.76,5.23,29.52,15.76,3.59,0.0
20190108:0649,526.13,273.76,6.64,36.21,17.63,3.17,0.0
20190108:0749,664.54,222.39,7.46,39.52,19.17,3.24,0.0
20190108:0849,582.88,216.75,7.0,38.78,20.39,3.45,0.0
20190108:0949,405.11,212.72,5.65,34.17,21.18,3.38,0.0
20190108:1049,235.81,170.92,3.86,26.52,21.31,3.03,0.0
20190108:1149,116.37,92.85,1.99,16.79,20.96,2.55,0.0
