time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190628:0949,574.72,196.52,10.44,66.12,41.11,3.72,0.0
20190628:1049,405.9,177.78,8.52,52.89,41.39,3.86,0.0
20190628:1149,232.97,144.54,6.24,39.71,41.26,3.86,0.0
20190628:1249,74.45,103.13,3.67,26.71,40.75,3.72,0.0
20190628:1349,0.0,57.94,0.74,14.0,39.85,3.45,0.0
20190628:1449,0.0,0.0,0.0,0.0,38.55,2.28,0.0
20190628:1549,0.0,0.0,0.0,0.0,37.15,1.31,0.0
20190628:1649,0.0,0.0,0.0,0.0,35.45,1.03,0.0
20190628:1749,0.0,0.0,0.0,0.0,34.18,1.1,0.0
20190628:1849,0.0,0.0,0.0,0.0,32.05,2.07,0.0
20190628:1949,0.0,0.0,0.0,0.0,31.17,1.31,0.0
20190628:2049,0.0,0.0,0.0,0.0,30.53,1.03,0.0
20190628:2149,0.0,0.0,0.0,0.0,29.83,1.03,0.0
20190628:2249,0.0,0.0,0.0,0.0,29.42,1.03,0.0
20190628:2349,0.0,0.0,0.0,0.0,28.61,1.24,0.0
20190629:0049,0.0,0.0,0.0,0.0,27.26,1.86,0.0
20190629:0149,0.0,10.36,0.13,7.37,27.11,2.34,0.0
20190629:0249,0.0,35.78,0.44,19.86,30.21,2.69,0.0
20190629:0349,57.42,266.71,3.94,32.72,32.5,3.38,0.0
20190629:0449,271.27,330.55,7.13,45.82,34.19,4.14,0.0
20190629:0549,478.82,319.44,9.45,59.05,36.0,5.03,0.0
20190629:0649,621.16,288.55,10.94,72.21,37.64,5.93,0.0
20190629:0749,661.19,266.96,11.45,83.99,38.9,6.07,0.0
20190629:0849,617.44,249.04,11.08,79.02,40.05,5.93,0.0
20190629:0949,537.34,210.3,10.08,66.15,40.84,5.38,0.0
20190629:1049,383.42,186.77,8.28,52.92,41.32,5.24,0.0
20190629:1149,224.4,147.91,6.12,39.74,41.53,5.38,0.0
20190629:1249,69.14,107.06,3.55,26.73,41.2,5.59,0.0
20190629:1349,0.0,29.87,0.38,14.03,40.19,5.79,0.0
20190629:1449,0.0,0.0,0.0,0.0,38.62,5.45,0.0
20190629:1549,0.0,0.0,0.0,0.0,36.81,5.17,0.0
20190629:1649,0.0,0.0,0.0,0.0,35.28,4.21,0.0
20190629:1749,0.0,0.0,0.0,0.0,34.0,3.45,0.0
20190629:1849,0.0,0.0,0.0,0.0,32.88,3.45,0.0
20190629:1949,0.0,0.0,0.0,0.0,32.04,3.24,0.0
20190629:2049,0.0,0.0,0.0,0.0,31.18,2.97,0.0
20190629:2149,0.0,0.0,0.0,0.0,30.17,2.62,0.0
20190629:2249,0.0,0.0,0.0,0.0,29.1,2.41,0.0
20190629:2349,0.0,0.0,0.0,0.0,28.16,2.21,0.0
20190630:0049,0.0,0.0,0.0,0.0,27.66,2.07,0.0
20190630:0149,0.0,11.3,0.14,7.3,27.42,2.21,0.0
20190630:0249,0.0,98.86,1.22,19.79,29.95,2.28,0.0
20190630:0349,140.25,271.02,4.93,32.66,33.23,3.1,0.0
20190630:0449,379.64,290.07,7.88,45.76,35.07,3.93,0.0
20190630:0549,562.05,281.27,9.98,58.99,36.83,4.55,0.0
20190630:0649,683.77,258.37,11.34,72.15,38.44,5.45,0.0
20190630:0749,714.62,241.63,11.81,83.92,39.9,5.86,0.0
20190630:0849,666.94,224.84,11.43,79.04,41.03,6.21,0.0
20190630:0949,564.64,201.52,10.35,66.18,41.57,6.21,0.0
20190630:1049,409.74,176.05,8.55,52.95,41.77,6.0,0.0
20190630:1149,238.16,141.81,6.29,39.77,41.53,5.66,0.0
20190630:1249,78.23,100.88,3.74,26.76,40.95,5.31,0.0
20190630:1349,0.0,57.03,0.73,14.04,40.06,4.9,0.0
20190630:1449,0.0,0.0,0.0,0.0,38.84,3.86,0.0
20190630:1549,0.0,0.0,0.0,0.0,37.59,3.93,0.0
20190630:1649,0.0,0.0,0.0,0.0,36.29,3.86,0.0
20190630:1749,0.0,0.0,0.0,0.0,34.81,2.83,0.0
20190630:1849,0.0,0.0,0.0,0.0,33.03,2.48,0.0
20190630:1949,0.0,0.0,0.0,0.0,31.33,2.0,0.0
20190630:2049,0.0,0.0,0.0,0.0,30.53,1.66,0.0
20190630:2149,0.0,0.0,0.0,0.0,30.03,1.72,0.0
20190630:2249,0.0,0.0,0.0,0.0,29.17,2.0,0.0
20190630:2349,0.0,0.0,0.0,0.0,28.49,2.14,0.0
20190701:0049,0.0,0.0,0.0,0.0,28.09,2.14,0.0
20190701:0149,37.2,61.84,1.57,7.23,27.87,2.14,0.0
20190701:0249,0.0,39.54,0.49,19.73,29.86,2.07,0.0
20190701:0349,166.7,265.55,5.16,32.59,33.73,2.69,0.0
20190701:0449,325.79,314.15,7.55,45.7,35.58,2.97,0.0
20190701:0549,606.36,256.95,10.21,58.93,37.39,3.03,0.0
20190701:0649,711.03,243.69,11.49,72.08,38.95,2.69,0.0
20190701:0749,735.57,232.88,11.96,83.84,40.47,2.9,0.0
20190701:0849,665.62,228.76,11.45,79.04,41.59,2.9,0.0
20190701:0949,555.85,209.19,10.31,66.2,42.48,2.97,0.0
20190701:1049,385.73,192.24,8.37,52.98,42.94,3.03,0.0
20190701:1149,235.99,145.48,6.29,39.79,43.02,3.24,0.0
20190701:1249,78.93,101.65,3.77,26.78,42.68,3.59,0.0
20190701:1349,0.0,57.03,0.73,14.06,41.97,3.79,0.0
20190701:1449,0.0,0.0,0.0,0.0,40.67,3.17,0.0
20190701:1549,0.0,0.0,0.0,0.0,39.23,2.55,0.0
20190701:1649,0.0,0.0,0.0,0.0,37.77,2.14,0.0
20190701:1749,0.0,0.0,0.0,0.0,36.01,1.45,0.0
20190701:1849,0.0,0.0,0.0,0.0,35.85,1.03,0.0
20190701:1949,0.0,0.0,0.0,0.0,35.43,0.62,0.0
20190701:2049,0.0,0.0,0.0,0.0,34.64,0.76,0.0
20190701:2149,0.0,0.0,0.0,0.0,33.93,0.9,0.0
20190701:2249,0.0,0.0,0.0,0.0,32.98,1.31,0.0
20190701:2349,0.0,0.0,0.0,0.0,30.45,1.86,0.0
20190702:0049,0.0,0.0,0.0,0.0,29.1,2.14,0.0
20190702:0149,39.0,60.54,1.59,7.16,28.67,2.07,0.0
20190702:0249,67.28,174.7,2.98,19.66,31.76,1.31,0.0
20190702:0349,315.2,208.73,6.2,32.53,36.2,0.97,0.0
20190702:0449,538.84,211.26,8.8,45.64,38.15,0.69,0.0
20190702:0549,687.91,218.56,10.72,58.86,39.85,0.48,0.0
20190702:0649,0.0,0.0,0.0,0.0,41.5,1.66,0.0
20190702:0749,768.7,221.13,12.23,83.76,43.08,3.31,0.0
20190702:0849,705.47,213.19,11.78,79.05,44.19,4.48,0.0
20190702:0949,581.59,199.52,10.55,66.22,44.8,5.31,0.0
20190702:1049,415.99,178.69,8.66,53.0,44.89,5.79,0.0
20190702:1149,238.95,145.36,6.34,39.81,44.59,6.14,0.0
20190702:1249,79.24,102.52,3.78,26.79,43.94,6.28,0.0
20190702:1349,0.0,57.94,0.74,14.07,42.98,6.07,0.0
20190702:1449,0.0,0.0,0.0,0.0,41.63,4.9,0.0
20190702:1549,0.0,0.0,0.0,0.0,40.16,4.83,0.0
20190702:1649,0.0,0.0,0.0,0.0,38.62,4.34,0.0
20190702:1749,0.0,0.0,0.0,0.0,37.2,3.79,0.0
20190702:1849,0.0,0.0,0.0,0.0,34.65,2.76,0.0
20190702:1949,0.0,0.0,0.0,0.0,32.6,3.93,0.0
20190702:2049,0.0,0.0,0.0,0.0,30.9,3.45,0.0
20190702:2149,0.0,0.0,0.0,0.0,29.7,2.48,0.0
20190702:2249,0.0,0.0,0.0,0.0,28.74,2.0,0.0
20190702:2349,0.0,0.0,0.0,0.0,27.67,1.24,0.0
20190703:0049,0.0,0.0,0.0,0.0,27.03,0.97,0.0
20190703:0149,35.41,61.21,1.52,7.09,27.13,0.76,0.0
20190703:0249,0.0,47.07,0.58,19.59,29.52,0.62,0.0
20190703:0349,99.65,272.94,4.49,32.46,31.45,0.48,0.0
20190703:0449,258.33,337.16,7.05,45.57,33.56,0.97,0.0
20190703:0549,425.4,350.13,9.17,58.8,35.99,2.21,0.0
20190703:0649,0.0,0.0,0.0,0.0,39.02,4.07,0.0
20190703:0749,571.6,327.46,11.03,83.68,40.82,5.52,0.0
20190703:0849,496.64,330.26,10.46,79.05,41.8,6.55,0.0
20190703:0949,447.34,276.53,9.62,66.24,42.13,7.38,0.0
20190703:1049,313.13,241.27,7.85,53.02,41.99,8.07,0.0
20190703:1149,161.72,198.89,5.56,39.83,41.47,8.28,0.0
20190703:1249,51.14,131.59,3.27,26.8,40.8,8.69,0.0
20190703:1349,0.0,59.75,0.77,14.07,39.62,8.41,0.0
20190703:1449,0.0,0.0,0.0,0.0,38.26,7.52,0.0
20190703:1549,0.0,0.0,0.0,0.0,37.24,7.31,0.0
20190703:1649,0.0,0.0,0.0,0.0,36.4,6.55,0.0
20190703:1749,0.0,0.0,0.0,0.0,35.62,5.59,0.0
20190703:1849,0.0,0.0,0.0,0.0,35.08,4.28,0.0
20190703:1949,0.0,0.0,0.0,0.0,33.86,2.62,0.0
20190703:2049,0.0,0.0,0.0,0.0,32.11,1.93,0.0
20190703:2149,0.0,0.0,0.0,0.0,30.79,2.0,0.0
20190703:2249,0.0,0.0,0.0,0.0,29.7,2.07,0.0
20190703:2349,0.0,0.0,0.0,0.0,28.78,2.07,0.0
20190704:0049,0.0,0.0,0.0,0.0,28.0,2.0,0.0
20190704:0149,37.25,59.93,1.55,7.02,27.82,1.93,0.0
20190704:0249,6.47,139.54,1.8,19.52,30.82,1.66,0.0
20190704:0349,187.81,259.93,5.33,32.4,34.28,3.24,0.0
20190704:0449,418.47,273.62,8.12,45.51,36.13,5.52,0.0
20190704:0549,589.22,270.08,10.14,58.74,37.81,6.14,0.0
20190704:0649,718.41,244.02,11.56,71.88,39.46,7.1,0.0
20190704:0749,744.7,232.18,12.05,83.58,40.55,7.79,0.0
20190704:0849,674.41,228.99,11.55,79.04,41.32,8.55,0.0
20190704:0949,563.31,209.37,10.39,66.25,41.81,9.1,0.0
20190704:1049,392.47,192.32,8.45,53.03,42.04,9.24,0.0
20190704:1149,228.88,152.39,6.22,39.84,41.91,9.17,0.0
20190704:1249,71.72,110.35,3.63,26.81,41.38,8.83,0.0
20190704:1349,0.0,60.65,0.78,14.08,40.42,7.93,0.0
20190704:1449,0.0,0.0,0.0,0.0,39.22,6.55,0.0
20190704:1549,0.0,0.0,0.0,0.0,38.11,5.66,0.0
20190704:1649,0.0,0.0,0.0,0.0,37.03,4.9,0.0
20190704:1749,0.0,0.0,0.0,0.0,35.8,4.41,0.0
20190704:1849,0.0,0.0,0.0,0.0,34.61,3.66,0.0
20190704:1949,0.0,0.0,0.0,0.0,33.46,3.38,0.0
20190704:2049,0.0,0.0,0.0,0.0,32.31,3.17,0.0
20190704:2149,0.0,0.0,0.0,0.0,30.95,2.76,0.0
20190704:2249,0.0,0.0,0.0,0.0,29.5,2.41,0.0
20190704:2349,0.0,0.0,0.0,0.0,28.52,2.21,0.0
20190705:0049,0.0,0.0,0.0,0.0,27.36,2.21,0.0
20190705:0149,28.28,64.3,1.41,6.94,26.84,2.21,0.0
20190705:0249,211.24,126.41,4.16,19.45,29.45,2.07,0.0
20190705:0349,413.34,165.55,6.83,32.33,33.86,2.76,0.0
20190705:0449,602.69,184.82,9.22,45.44,36.15,4.14,0.0
20190705:0549,741.62,196.92,11.08,58.67,37.84,5.17,0.0
20190705:0649,800.74,209.41,12.14,71.82,39.27,5.93,0.0
20190705:0749,775.24,224.35,12.33,83.49,40.31,7.1,0.0
20190705:0849,683.99,231.88,11.7,79.03,40.91,8.14,0.0
20190705:0949,564.74,215.95,10.49,66.27,41.25,8.62,0.0
20190705:1049,406.03,190.14,8.63,53.05,41.38,8.9,0.0
20190705:1149,235.11,152.0,6.33,39.85,41.21,8.83,0.0
20190705:1249,76.92,107.56,3.74,26.82,40.69,8.41,0.0
20190705:1349,0.0,60.65,0.78,14.08,39.79,7.72,0.0
20190705:1449,0.0,0.0,0.0,0.0,38.44,6.55,0.0
20190705:1549,0.0,0.0,0.0,0.0,37.08,5.86,0.0
20190705:1649,0.0,0.0,0.0,0.0,35.88,5.31,0.0
20190705:1749,0.0,0.0,0.0,0.0,34.68,4.21,0.0
20190705:1849,0.0,0.0,0.0,0.0,33.04,2.55,0.0
20190705:1949,0.0,0.0,0.0,0.0,31.09,2.34,0.0
20190705:2049,0.0,0.0,0.0,0.0,29.62,2.28,0.0
20190705:2149,0.0,0.0,0.0,0.0,28.29,2.34,0.0
20190705:2249,0.0,0.0,0.0,0.0,27.29,2.34,0.0
20190705:2349,0.0,0.0,0.0,0.0,26.67,2.28,0.0
20190706:0049,0.0,0.0,0.0,0.0,25.88,2.55,0.0
20190706:0149,39.19,57.75,1.56,6.86,25.9,2.83,0.0
20190706:0249,67.78,173.98,2.97,19.37,28.93,3.24,0.0
20190706:0349,322.72,206.41,6.23,32.26,31.4,5.72,0.0
20190706:0449,551.95,206.84,8.87,45.38,32.98,6.48,0.0
20190706:0549,685.48,223.04,10.71,58.61,34.71,6.9,0.0
20190706:0649,740.86,237.37,11.73,71.74,36.69,7.52,0.0
20190706:0749,736.68,242.21,12.05,83.39,37.9,8.28,0.0
20190706:0849,665.8,239.82,11.55,79.02,38.74,8.76,0.0
20190706:0949,550.14,221.94,10.35,66.27,39.36,8.97,0.0
20190706:1049,387.36,200.84,8.46,53.06,39.7,9.03,0.0
20190706:1149,220.73,161.02,6.16,39.86,39.6,8.83,0.0
20190706:1249,73.13,111.09,3.66,26.82,39.05,8.34,0.0
20190706:1349,0.0,58.84,0.76,14.07,38.02,7.52,0.0
20190706:1449,0.0,0.0,0.0,0.0,36.72,6.14,0.0
20190706:1549,0.0,0.0,0.0,0.0,35.55,5.24,0.0
20190706:1649,0.0,0.0,0.0,0.0,34.56,4.48,0.0
20190706:1749,0.0,0.0,0.0,0.0,33.53,3.66,0.0
20190706:1849,0.0,0.0,0.0,0.0,32.36,3.03,0.0
20190706:1949,0.0,0.0,0.0,0.0,30.86,2.55,0.0
20190706:2049,0.0,0.0,0.0,0.0,29.61,2.55,0.0
20190706:2149,0.0,0.0,0.0,0.0,28.59,2.48,0.0
20190706:2249,0.0,0.0,0.0,0.0,27.81,2.55,0.0
20190706:2349,0.0,0.0,0.0,0.0,27.26,2.55,0.0
20190707:0049,0.0,0.0,0.0,0.0,26.54,2.76,0.0
20190707:0149,38.69,56.99,1.53,6.78,26.69,3.24,0.0
20190707:0249,103.3,166.62,3.3,19.3,28.76,4.07,0.0
20190707:0349,361.54,185.31,6.43,32.19,30.66,5.93,0.0
20190707:0449,551.63,206.98,8.86,45.31,32.72,6.55,0.0
20190707:0549,695.04,218.2,10.76,58.54,34.74,6.69,0.0
20190707:0649,782.04,216.65,11.98,71.67,36.67,6.83,0.0
20190707:0749,778.57,219.72,12.29,83.28,37.86,7.24,0.0
20190707:0849,705.1,218.56,11.79,79.0,38.74,7.45,0.0
20190707:0949,582.92,203.8,10.57,66.28,39.4,7.59,0.0
20190707:1049,412.54,184.8,8.64,53.06,39.66,7.59,0.0
20190707:1149,238.63,149.45,6.34,39.86,39.51,7.31,0.0
20190707:1249,79.2,104.89,3.76,26.82,38.88,6.76,0.0
20190707:1349,0.0,57.03,0.73,14.06,37.84,5.93,0.0
20190707:1449,0.0,0.0,0.0,0.0,36.5,4.34,0.0
20190707:1549,0.0,0.0,0.0,0.0,35.11,3.66,0.0
20190707:1649,0.0,0.0,0.0,0.0,33.87,3.52,0.0
20190707:1749,0.0,0.0,0.0,0.0,32.82,3.52,0.0
20190707:1849,0.0,0.0,0.0,0.0,31.64,3.1,0.0
20190707:1949,0.0,0.0,0.0,0.0,30.11,2.69,0.0
20190707:2049,0.0,0.0,0.0,0.0,28.85,2.69,0.0
20190707:2149,0.0,0.0,0.0,0.0,27.76,2.62,0.0
20190707:2249,0.0,0.0,0.0,0.0,26.95,2.21,0.0
20190707:2349,0.0,0.0,0.0,0.0,26.59,1.86,0.0
20190708:0049,0.0,0.0,0.0,0.0,26.17,1.79,0.0
20190708:0149,38.22,57.08,1.52,6.69,26.31,1.66,0.0
20190708:0249,163.27,143.94,3.76,19.22,29.59,1.03,0.0
20190708:0349,391.67,172.84,6.63,32.12,33.63,0.76,0.0
20190708:0449,589.05,189.23,9.08,45.24,35.84,1.17,0.0
20190708:0549,724.32,203.34,10.92,58.47,37.73,2.48,0.0
20190708:0649,782.85,216.79,11.98,71.6,39.11,2.48,0.0
20190708:0749,779.36,220.83,12.3,83.17,40.48,3.45,0.0
20190708:0849,696.86,223.56,11.73,78.97,41.5,4.21,0.0
20190708:0949,568.37,212.58,10.46,66.28,42.18,4.9,0.0
20190708:1049,407.75,188.7,8.6,53.07,42.47,5.52,0.0
20190708:1149,232.64,154.33,6.28,39.86,42.23,5.93,0.0
20190708:1249,77.45,107.07,3.72,26.81,41.49,5.86,0.0
20190708:1349,0.0,57.03,0.73,14.05,40.22,5.31,0.0
20190708:1449,0.0,0.0,0.0,0.0,38.71,3.79,0.0
20190708:1549,0.0,0.0,0.0,0.0,37.28,2.55,0.0
20190708:1649,0.0,0.0,0.0,0.0,35.62,1.52,0.0
20190708:1749,0.0,0.0,0.0,0.0,33.83,1.38,0.0
20190708:1849,0.0,0.0,0.0,0.0,32.8,1.45,0.0
20190708:1949,0.0,0.0,0.0,0.0,31.9,1.52,0.0
20190708:2049,0.0,0.0,0.0,0.0,30.86,1.59,0.0
20190708:2149,0.0,0.0,0.0,0.0,29.72,1.72,0.0
20190708:2249,0.0,0.0,0.0,0.0,29.0,1.72,0.0
20190708:2349,0.0,0.0,0.0,0.0,28.89,1.52,0.0
20190709:0049,0.0,0.0,0.0,0.0,29.97,1.17,0.0
20190709:0149,36.55,57.42,1.49,6.61,29.38,1.17,0.0
20190709:0249,170.26,139.33,3.78,19.14,30.7,0.9,0.0
20190709:0349,371.67,179.78,6.46,32.04,34.14,0.76,0.0
20190709:0449,553.12,204.29,8.83,45.17,36.06,0.62,0.0
20190709:0549,679.92,223.46,10.62,58.41,37.76,0.76,0.0
20190709:0649,775.98,217.94,11.89,71.52,39.62,1.45,0.0
20190709:0749,752.06,232.82,12.09,83.06,40.94,2.0,0.0
20190709:0849,691.34,224.72,11.66,78.94,41.95,2.69,0.0
20190709:0949,571.62,208.95,10.45,66.27,42.79,3.38,0.0
20190709:1049,404.51,188.97,8.55,53.07,43.22,4.14,0.0
20190709:1149,233.78,151.82,6.26,39.86,43.01,4.34,0.0
20190709:1249,77.36,107.24,3.71,26.81,42.52,4.14,0.0
20190709:1349,0.0,57.03,0.73,14.03,41.76,3.31,0.0
20190709:1449,0.0,0.0,0.0,0.0,40.54,1.59,0.0
20190709:1549,0.0,0.0,0.0,0.0,38.84,2.0,0.0
20190709:1649,0.0,0.0,0.0,0.0,37.01,2.21,0.0
20190709:1749,0.0,0.0,0.0,0.0,35.03,1.86,0.0
20190709:1849,0.0,0.0,0.0,0.0,33.31,1.59,0.0
20190709:1949,0.0,0.0,0.0,0.0,33.12,0.97,0.0
20190709:2049,0.0,0.0,0.0,0.0,32.93,0.76,0.0
20190709:2149,0.0,0.0,0.0,0.0,30.12,1.72,0.0
20190709:2249,0.0,0.0,0.0,0.0,28.79,2.41,0.0
20190709:2349,0.0,0.0,0.0,0.0,27.85,2.41,0.0
20190710:0049,0.0,0.0,0.0,0.0,27.0,2.21,0.0
20190710:0149,31.22,60.23,1.41,6.52,26.62,2.0,0.0
20190710:0249,8.44,138.7,1.81,19.06,29.22,2.14,0.0
20190710:0349,227.18,238.78,5.49,31.97,31.39,2.41,0.0
20190710:0449,447.52,249.17,8.12,45.1,33.29,2.69,0.0
20190710:0549,605.89,251.12,10.06,58.34,35.18,3.03,0.0
20190710:0649,699.57,245.78,11.29,71.45,36.9,3.24,0.0
20190710:0749,694.7,252.63,11.6,82.94,38.35,3.17,0.0
20190710:0849,648.88,236.71,11.24,78.9,39.46,3.52,0.0
20190710:0949,478.1,257.34,9.74,66.26,40.34,3.45,0.0
20190710:1049,194.07,310.63,6.83,53.06,40.83,3.03,0.0
20190710:1149,179.62,187.59,5.7,39.85,40.92,3.17,0.0
20190710:1249,63.89,118.91,3.44,26.79,40.68,3.72,0.0
20190710:1349,0.0,58.84,0.76,14.01,39.85,4.28,0.0
20190710:1449,0.0,0.0,0.0,0.0,38.65,3.79,0.0
20190710:1549,0.0,0.0,0.0,0.0,37.38,3.86,0.0
20190710:1649,0.0,0.0,0.0,0.0,36.21,3.79,0.0
20190710:1749,0.0,0.0,0.0,0.0,34.94,3.52,0.0
20190710:1849,0.0,0.0,0.0,0.0,33.45,3.38,0.0
20190710:1949,0.0,0.0,0.0,0.0,32.15,3.03,0.0
20190710:2049,0.0,0.0,0.0,0.0,31.0,2.97,0.0
20190710:2149,0.0,0.0,0.0,0.0,30.03,2.9,0.0
20190710:2249,0.0,0.0,0.0,0.0,29.17,2.9,0.0
20190710:2349,0.0,0.0,0.0,0.0,28.44,2.76,0.0
20190711:0049,0.0,0.0,0.0,0.0,27.77,2.55,0.0
20190711:0149,30.78,59.48,1.38,6.43,27.54,2.28,0.0
20190711:0249,0.0,89.44,1.1,18.98,29.23,2.83,0.0
20190711:0349,164.29,258.63,5.01,31.9,30.93,3.45,0.0
20190711:0449,403.39,272.29,7.87,45.03,32.68,3.86,0.0
20190711:0549,549.47,283.56,9.77,58.27,34.47,4.55,0.0
20190711:0649,662.68,267.6,11.09,71.37,35.96,5.17,0.0
20190711:0749,682.35,259.64,11.52,82.81,37.48,5.31,0.0
20190711:0849,638.84,242.68,11.17,78.85,38.7,5.45,0.0
20190711:0949,526.36,225.89,10.01,66.25,39.53,5.17,0.0
20190711:1049,376.37,199.27,8.22,53.05,39.91,5.03,0.0
20190711:1149,212.64,161.51,5.96,39.84,39.95,4.76,0.0
20190711:1249,70.45,111.62,3.53,26.78,39.54,4.28,0.0
20190711:1349,0.0,58.84,0.76,13.99,38.82,4.28,0.0
20190711:1449,0.0,0.0,0.0,0.0,37.49,3.93,0.0
20190711:1549,0.0,0.0,0.0,0.0,36.0,4.55,0.0
20190711:1649,0.0,0.0,0.0,0.0,34.47,3.93,0.0
20190711:1749,0.0,0.0,0.0,0.0,33.2,2.69,0.0
20190711:1849,0.0,0.0,0.0,0.0,31.6,2.41,0.0
20190711:1949,0.0,0.0,0.0,0.0,30.65,2.21,0.0
20190711:2049,0.0,0.0,0.0,0.0,29.77,2.14,0.0
20190711:2149,0.0,0.0,0.0,0.0,28.94,2.48,0.0
20190711:2249,0.0,0.0,0.0,0.0,28.29,2.55,0.0
20190711:2349,0.0,0.0,0.0,0.0,27.74,2.48,0.0
20190712:0049,0.0,0.0,0.0,0.0,27.21,2.34,0.0
20190712:0149,30.97,58.63,1.37,6.34,27.04,2.21,0.0
20190712:0249,2.83,117.78,1.49,18.9,29.08,2.69,0.0
20190712:0349,210.26,245.28,5.36,31.82,31.04,3.52,0.0
20190712:0449,419.0,264.9,7.95,44.96,32.92,4.34,0.0
20190712:0549,607.52,251.5,10.06,58.2,34.72,4.83,0.0
20190712:0649,711.94,241.19,11.36,71.29,36.34,4.76,0.0
20190712:0749,719.88,240.21,11.74,82.68,37.76,4.83,0.0
20190712:0849,661.33,232.14,11.33,78.8,38.84,4.62,0.0
20190712:0949,545.83,215.46,10.14,66.24,39.69,4.28,0.0
20190712:1049,384.75,194.62,8.28,53.04,40.08,3.79,0.0
20190712:1149,202.0,171.16,5.88,39.83,40.41,3.72,0.0
20190712:1249,70.74,111.68,3.53,26.76,40.09,4.41,0.0
20190712:1349,0.0,57.94,0.74,13.96,39.19,4.76,0.0
20190712:1449,0.0,0.0,0.0,0.0,37.92,3.93,0.0
20190712:1549,0.0,0.0,0.0,0.0,36.52,4.62,0.0
20190712:1649,0.0,0.0,0.0,0.0,34.85,4.28,0.0
20190712:1749,0.0,0.0,0.0,0.0,33.35,3.17,0.0
20190712:1849,0.0,0.0,0.0,0.0,32.05,2.83,0.0
20190712:1949,0.0,0.0,0.0,0.0,31.04,2.28,0.0
20190712:2049,0.0,0.0,0.0,0.0,30.24,2.48,0.0
20190712:2149,0.0,0.0,0.0,0.0,29.47,2.9,0.0
20190712:2249,0.0,0.0,0.0,0.0,28.82,3.03,0.0
20190712:2349,0.0,0.0,0.0,0.0,28.19,2.9,0.0
20190713:0049,0.0,0.0,0.0,0.0,27.61,2.83,0.0
20190713:0149,29.32,59.87,1.35,6.25,27.49,2.76,0.0
20190713:0249,0.0,50.84,0.63,18.82,29.28,3.17,0.0
20190713:0349,149.1,260.04,4.85,31.74,31.02,4.14,0.0
20190713:0449,386.73,279.17,7.74,44.89,32.73,4.97,0.0
20190713:0549,557.93,277.06,9.77,58.12,34.29,5.45,0.0
20190713:0649,646.91,276.77,10.99,71.2,35.6,5.93,0.0
20190713:0749,680.28,260.96,11.49,82.55,36.94,5.93,0.0
20190713:0849,625.1,250.77,11.07,78.75,38.04,5.79,0.0
20190713:0949,525.3,226.22,9.98,66.21,38.61,5.31,0.0
20190713:1049,375.31,199.61,8.19,53.03,38.96,4.69,0.0
20190713:1149,199.85,171.47,5.84,39.81,39.13,4.41,0.0
20190713:1249,68.92,113.06,3.49,26.73,38.98,4.55,0.0
20190713:1349,0.0,57.03,0.73,13.93,38.28,4.9,0.0
20190713:1449,0.0,0.0,0.0,0.0,37.2,4.41,0.0
20190713:1549,0.0,0.0,0.0,0.0,35.9,4.62,0.0
20190713:1649,0.0,0.0,0.0,0.0,34.53,4.14,0.0
20190713:1749,0.0,0.0,0.0,0.0,33.21,3.52,0.0
20190713:1849,0.0,0.0,0.0,0.0,31.69,4.07,0.0
20190713:1949,0.0,0.0,0.0,0.0,30.75,3.52,0.0
20190713:2049,0.0,0.0,0.0,0.0,29.96,3.24,0.0
20190713:2149,0.0,0.0,0.0,0.0,29.24,2.97,0.0
20190713:2249,0.0,0.0,0.0,0.0,28.66,2.83,0.0
20190713:2349,0.0,0.0,0.0,0.0,28.13,2.76,0.0
20190714:0049,0.0,0.0,0.0,0.0,27.68,2.9,0.0
20190714:0149,28.93,59.15,1.33,6.16,27.58,3.1,0.0
20190714:0249,1.9,110.22,1.38,18.73,28.8,3.93,0.0
20190714:0349,224.17,237.35,5.41,31.67,30.18,4.62,0.0
20190714:0449,470.5,235.32,8.17,44.82,31.85,5.17,0.0
20190714:0549,624.15,239.99,10.09,58.05,33.64,5.31,0.0
20190714:0649,706.06,242.52,11.28,71.12,35.22,5.66,0.0
20190714:0749,704.76,245.47,11.59,82.41,36.71,5.72,0.0
20190714:0849,655.84,233.47,11.24,78.68,37.99,5.59,0.0
20190714:0949,549.13,212.93,10.13,66.19,38.76,4.97,0.0
20190714:1049,392.32,190.17,8.31,53.01,39.21,4.34,0.0
20190714:1149,203.61,168.71,5.86,39.79,39.5,4.21,0.0
20190714:1249,67.51,114.35,3.45,26.7,39.34,4.69,0.0
20190714:1349,0.0,57.94,0.74,13.89,38.44,5.17,0.0
20190714:1449,0.0,0.0,0.0,0.0,36.88,4.69,0.0
20190714:1549,0.0,0.0,0.0,0.0,35.02,4.9,0.0
20190714:1649,0.0,0.0,0.0,0.0,33.44,3.52,0.0
20190714:1749,0.0,0.0,0.0,0.0,32.41,2.48,0.0
20190714:1849,0.0,0.0,0.0,0.0,31.02,2.69,0.0
20190714:1949,0.0,0.0,0.0,0.0,29.96,2.41,0.0
20190714:2049,0.0,0.0,0.0,0.0,29.09,2.14,0.0
20190714:2149,0.0,0.0,0.0,0.0,28.29,1.79,0.0
20190714:2249,0.0,0.0,0.0,0.0,27.52,1.52,0.0
